item_id,categoria,nombre_de_producto,precio_de_producto,descuento,url_producto 
532792PH,Parkas Hombre,Pantalon Franjas Adidas ,$30.090,$12.900,https://www.paris.cl/pantalon-franjas-adidas%C2%A0-532792.html?dwvar_532792_color=0300&cgid=mujJuvChaquetasParkas
580115PH,Parkas Hombre,Biker Suede Opposite,$16.990,$0,https://www.paris.cl/biker-suede-opposite-580115.html?dwvar_580115_color=0960&cgid=mujJuvChaquetasParkas
590264PH,Parkas Hombre,Parka Sin Manga Entrada Negro Merrell,$74.990,$0,https://www.paris.cl/parka-sin-manga-entrada-negro-merrell-590264.html?dwvar_590264_color=0001&cgid=mujJuvChaquetasParkas
647923PH,Parkas Hombre,Chaqueta Single Breasted Topshop,$89.990,$0,https://www.paris.cl/chaqueta-single-breasted-topshop-647923.html?dwvar_647923_color=9999&cgid=mujJuvChaquetasParkas
632759PH,Parkas Hombre,Chaqueta Biker Topshop,$59.990,$0,https://www.paris.cl/chaqueta-biker-topshop-632759.html?dwvar_632759_color=9999&cgid=mujJuvChaquetasParkas
590255PH,Parkas Hombre,Parka Entrada Merrell,$94.990,$0,https://www.paris.cl/parka-entrada-merrell-590255.html?dwvar_590255_color=0610&cgid=mujJuvChaquetasParkas
442294PH,Parkas Hombre,Chaqueta Pu Abierta con Tachas Jjo,$44.990,$0,https://www.paris.cl/chaqueta-pu-abierta-con-tachas-jjo-442294.html?dwvar_442294_color=0001&cgid=mujJuvChaquetasParkas
550077PH,Parkas Hombre,Chaqueta Oversized Denim Topshop,$54.990,$0,https://www.paris.cl/chaqueta-oversized-denim-topshop-550077.html?dwvar_550077_color=9999&cgid=mujJuvChaquetasParkas
445661PH,Parkas Hombre,Chaqueta Pu Cuello Mao Jjo,$49.990,$0,https://www.paris.cl/chaqueta-pu-cuello-mao-jjo-445661.html?dwvar_445661_color=0301&cgid=mujJuvChaquetasParkas
653231PH,Parkas Hombre,Blazer Raw Hem Topshop,$49.990,$0,https://www.paris.cl/blazer-raw-hem-topshop-653231.html?dwvar_653231_color=9999&cgid=mujJuvChaquetasParkas
590243PH,Parkas Hombre,Chaqueta Trekpro Merrell,$149.990,$0,https://www.paris.cl/chaqueta-trekpro-merrell-590243.html?dwvar_590243_color=0660&cgid=mujJuvChaquetasParkas
534408PH,Parkas Hombre,Chaqueta Oversized Denim Topshop,$49.990,$0,https://www.paris.cl/chaqueta-oversized-denim-topshop-534408.html?dwvar_534408_color=9999&cgid=mujJuvChaquetasParkas
590313PH,Parkas Hombre,Parka Classic Poly Negro Mate Cartepillar,$49.990,$0,https://www.paris.cl/parka-classic-poly-negro-mate-cartepillar-590313.html?dwvar_590313_color=0002&cgid=mujJuvChaquetasParkas
574077PH,Parkas Hombre,Chaqueta Tie Dye Opposite,$29.990,$0,https://www.paris.cl/chaqueta-tie-dye-opposite-574077.html?dwvar_574077_color=0002&cgid=mujJuvChaquetasParkas
473184PH,Parkas Hombre,Chaqueta Floral Umbrale ,$49.990,$0,https://www.paris.cl/chaqueta-floral-umbrale%C2%A0-473184.html?dwvar_473184_color=0960&cgid=mujJuvChaquetasParkas
590312PH,Parkas Hombre,Parka Classic Poly Cartepillar,$49.990,$0,https://www.paris.cl/parka-classic-poly-cartepillar-590312.html?dwvar_590312_color=0101&cgid=mujJuvChaquetasParkas
560221PH,Parkas Hombre,Chaqueta Cuero Topshop,$129.990,$70.000,https://www.paris.cl/chaqueta-cuero-topshop-560221.html?dwvar_560221_color=9999&cgid=mujJuvChaquetasParkas
487783PH,Parkas Hombre,Casaca Mujer Diseño Cierre Cruzado Maui,$32.990,$22.000,https://www.paris.cl/casaca-mujer-diseno-cierre-cruzado-maui-487783.html?dwvar_487783_color=0020&cgid=mujJuvChaquetasParkas
590260PH,Parkas Hombre,Parka Entrada Merrell,$74.990,$0,https://www.paris.cl/parka-entrada-merrell-590260.html?dwvar_590260_color=0610&cgid=mujJuvChaquetasParkas
514373PH,Parkas Hombre,Chaqueta Raw Camouflage Topshop,$49.990,$0,https://www.paris.cl/chaqueta-raw-camouflage-topshop-514373.html?dwvar_514373_color=9999&cgid=mujJuvChaquetasParkas
653225PH,Parkas Hombre,Chaqueta Longline Ecru Topshop,$59.990,$0,https://www.paris.cl/chaqueta-longline-ecru-topshop-653225.html?dwvar_653225_color=9999&cgid=mujJuvChaquetasParkas
590271PH,Parkas Hombre,Chaqueta Softshell Stpletn Merrell,$84.990,$0,https://www.paris.cl/chaqueta-softshell-stpletn-merrell-590271.html?dwvar_590271_color=0510&cgid=mujJuvChaquetasParkas
882956PH,Parkas Hombre,Chaqueta Larga Pelo Setepontocinco,$45.990,$0,https://www.paris.cl/chaqueta-larga-pelo-setepontocinco-882956.html?dwvar_882956_color=0001&cgid=mujJuvChaquetasParkas
526237PH,Parkas Hombre,Chaqueta Hacked Fitted Denim Topshop,$54.990,$0,https://www.paris.cl/chaqueta-hacked-fitted-denim-topshop-526237.html?dwvar_526237_color=9999&cgid=mujJuvChaquetasParkas
474583PH,Parkas Hombre,Casaca Reversible Aussie,$44.990,$0,https://www.paris.cl/casaca-reversible-aussie-474583.html?dwvar_474583_color=0001&cgid=mujJuvChaquetasParkas
474419PH,Parkas Hombre,Chaqueta Moda Opposite,$19.990,$5.000,https://www.paris.cl/chaqueta-moda-opposite-474419.html?dwvar_474419_color=0230&cgid=mujJuvChaquetasParkas
532778PH,Parkas Hombre,Calza Originals Negro Adidas ,$17.490,$7.500,https://www.paris.cl/calza-originals-negro-adidas%C2%A0-532778.html?dwvar_532778_color=0001&cgid=mujJuvChaquetasParkas
566807PH,Parkas Hombre,Abrigo Cropped Faux Fur Topshop,$31.990,$48.000,https://www.paris.cl/abrigo-cropped-faux-fur-topshop-566807.html?dwvar_566807_color=9999&cgid=mujJuvChaquetasParkas
435117CH,Camisas Hombre,Camisa Escocesa de Franela American Eagle,$17.490,$17.500,https://www.paris.cl/camisa-escocesa-de-franela-american-eagle-435117.html?dwvar_435117_color=0008&cgid=homJuvCamisas
272807CH,Camisas Hombre,Camisa Cuadrille Reef,$11.490,$11.500,https://www.paris.cl/camisa-cuadrille-reef-272807.html?dwvar_272807_color=0460&cgid=homJuvCamisas
435092CH,Camisas Hombre,Camisa Militar American Eagle,$17.990,$27.000,https://www.paris.cl/camisa-militar-american-eagle-435092.html?dwvar_435092_color=0001&cgid=homJuvCamisas
435123CH,Camisas Hombre,Camisa Denim American Eagle,$34.990,$0,https://www.paris.cl/camisa-denim-american-eagle-435123.html?dwvar_435123_color=0400&cgid=homJuvCamisas
928597CH,Camisas Hombre,Camisa Manga Corta Slim Print Oakley,$6.990,$18.000,https://www.paris.cl/camisa-manga-corta-slim-print-oakley-928597.html?dwvar_928597_color=0100&cgid=homJuvCamisas
239296CH,Camisas Hombre,Camisa Denim American Eagle,$13.990,$21.000,https://www.paris.cl/camisa-denim-american-eagle-239296.html?dwvar_239296_color=0001&cgid=homJuvCamisas
435179CH,Camisas Hombre,Camisa Rayada American Eagle,$29.990,$0,https://www.paris.cl/camisa-rayada-american-eagle-435179.html?dwvar_435179_color=0400&cgid=homJuvCamisas
212911CH,Camisas Hombre,Camisa Manga Corta Cuadros Legacy,$26.990,$0,https://www.paris.cl/camisa-manga-corta-cuadros-legacy-212911.html?dwvar_212911_color=0960&cgid=homJuvCamisas
467477CH,Camisas Hombre,Camisa Lisa Foster,$29.990,$0,https://www.paris.cl/camisa-lisa-foster-467477.html?dwvar_467477_color=0001&cgid=homJuvCamisas
956514CH,Camisas Hombre,Camisa Print QuikSilver,$6.990,$18.000,https://www.paris.cl/camisa-print-quiksilver-956514.html?dwvar_956514_color=0400&cgid=homJuvCamisas
212908CH,Camisas Hombre,Camisa Manga Corta Piñas Legacy,$26.990,$0,https://www.paris.cl/camisa-manga-corta-pinas-legacy-212908.html?dwvar_212908_color=0420&cgid=homJuvCamisas
408382CH,Camisas Hombre,Camisa Rayada American Eagle,$29.990,$0,https://www.paris.cl/camisa-rayada-american-eagle-408382.html?dwvar_408382_color=0340&cgid=homJuvCamisas
250898CH,Camisas Hombre,Camisa Estampada Surf Aussie,$19.990,$0,https://www.paris.cl/camisa-estampada-surf-aussie-250898.html?dwvar_250898_color=0010&cgid=homJuvCamisas
198219CH,Camisas Hombre,Camisa Poplin Mini Print Essential Rainforest,$12.990,$0,https://www.paris.cl/camisa-poplin-mini-print-essential-rainforest-198219.html?dwvar_198219_color=0001&cgid=homJuvCamisas
241977CH,Camisas Hombre,Camisa Mini Print JJO,$12.990,$12.000,https://www.paris.cl/camisa-mini-print-jjo-241977.html?dwvar_241977_color=0960&cgid=homJuvCamisas
946239CH,Camisas Hombre,Camisa Tropical Floral  Cubavera,$9.990,$20.000,https://www.paris.cl/camisa-tropical-floral--cubavera-946239.html?dwvar_946239_color=0401&cgid=homJuvCamisas
212893CH,Camisas Hombre,Camisa Manga Larga Cuadro Chico Legacy,$29.990,$0,https://www.paris.cl/camisa-manga-larga-cuadro-chico-legacy-212893.html?dwvar_212893_color=0420&cgid=homJuvCamisas
